Month,Platform,Product Category,SKU,Title,Vendor,Price,Ad Spend,Impressions,Clicks,CTR,Avg. CPC,Conversions,Revenue,Impression share,Impression share lost to rank,Absolute top impression share
2025-10,Bing,General Casters,SN12LC53,"12"" x 3"" Eco-Rubber Flat Free Wheel (Centered Hub) - 850 lbs. Capacity - 3/4"" Inner Diameter",Durable Superior Casters,$37.60,$1.63,193,1,0.52%,$1.63,,,20.90%,77.61%,1.49%
2025-10,Bing,Guard Rail,GR-3-A2,Heavy Duty Warehouse Double Guard Rail Add-On Unit - 3 ft,Handle-It,$338.00,$1.63,36,1,2.78%,$1.63,,,12.50%,81.25%,
2025-10,Bing,Fixed Bollards,REM-YL-06-042-C-18-GALV,"6"" x 60"" Removable Locking Bollards",S4 Bollards,$544.29,$1.62,81,3,3.70%,$0.54,,,71.95%,26.83%,2.44%
2025-10,Bing,Heavy Duty / Container,61PU12QV2425YY,"12"" x 2-1/2"" Polyon- Cast Wheel Swivel Caster- 7000 Lbs. Capacity",Durable Superior Casters,$353.36,$1.61,25,2,8.00%,$0.81,,,56.41%,43.59%,7.69%
2025-10,Bing,General Casters,PP25GM42,"2-1/2"" X 1-1/4"" Poly-Pro Wheel - 250 lbs. Capacity",Durable Superior Casters,$7.05,$1.61,9,1,11.11%,$1.61,,,52.94%,47.06%,11.76%
2025-10,Bing,Hand Trucks & Dollies,F84738A8,"Valley Craft 2-Wheel Pallet Hand Trucks, Steel / Pneumatic Wheels / No",Valley Craft,$745.00,$1.60,2,1,50.00%,$1.60,,,50.00%,50.00%,
2025-10,Bing,General Casters,75HR50GB4206YY,"5"" x 1-1/4"" Hard Rubber Wheel Swivel Caster - 350 lbs. Capacity",Durable Superior Casters,$21.71,$1.59,174,1,0.57%,$1.59,,,25.00%,71.43%,7.14%
2025-10,Bing,BLANK,FP2500,Adjustable Height LCD/LED TV Stand,Luxor,$515.97,$1.59,29,2,6.90%,$0.80,,,1.32%,89.36%,0.15%
2025-10,Bing,Electric Pallet Jack,A-102901,Full Electric Pallet Jack 3300 lbs. Capacity,Apollo Forklift,"$2,388.06",$1.58,77,2,2.60%,$0.79,,,47.54%,52.46%,0.82%
2025-10,Bing,General Casters,SS40JS92,"4"" x 2"" Semi-Steel Wheel - 700 lbs. Capacity",Durable Superior Casters,$21.40,$1.58,15,1,6.67%,$1.58,,,17.24%,82.76%,
2025-10,Bing,Carts,MLCNR600,Nesting Luggage Cart With Rubber Platform,Suncast Commercial,$616.48,$1.57,71,1,1.41%,$1.57,,,35.59%,64.41%,1.69%
2025-10,Bing,Vending Machine Trucks,1872-SB-BLUE,Dutro Vending Machine Truck - Blue / Side Brake,Dutro,"$1,135.08",$1.56,22,3,13.64%,$0.52,,,10.00%,90.00%,
2025-10,Bing,Fixed Bollards,"P 8 SCH 40 @ 84""","Steel Pipe Bollards - Raw / 8""",S4 Bollards,$305.36,$1.55,5,1,20.00%,$1.55,,,44.44%,55.56%,22.22%
2025-10,Bing,General Casters,PM50JM60,"5"" x 2"" Polymadic Wheel - 750 lbs. Capacity, Maroon/Gray / Sealed Precision Bearing",Durable Superior Casters,$20.61,$1.54,15,2,13.33%,$0.77,,,82.35%,5.88%,5.88%
2025-10,Bing,BLANK,304.5,"iForks-32 Forklift Scale - 5,000 lbs",Ravas,"$5,281.00",$1.52,44,2,4.55%,$0.76,,,57.35%,42.65%,2.94%
2025-10,Bing,Dock Equipment,276060,Heavy Duty Dock Seals for 10'H Roll-Up Doors,Wesco,"$1,221.47",$1.51,136,1,0.74%,$1.51,,,11.11%,88.89%,
2025-10,Bing,Heavy Duty / Container,27PU80JG0417YY,"8"" x 2"" Polyon Cast Wheel Swivel Caster - 1250 lbs. Capacity - Standard",Durable Superior Casters,$55.26,$1.48,76,2,2.63%,$0.74,,,50.00%,50.00%,
2025-10,Bing,Bollard Covers,ARCH-GY-06-052-S,"Architectural Bollard Covers for 6"" and 4"" Bollards (52"" Height), Dark Gray / No",S4 Bollards,$119.99,$1.46,9,1,11.11%,$1.46,,,100.00%,0.00%,
2025-10,Bing,Carts,T3D330486PYFP60,Forkliftable Order Picking Truck with Shelf Dividers,Little Giant,"$1,648.53",$1.45,893,4,0.45%,$0.36,,,44.62%,23.85%,18.46%
2025-10,Bing,Heavy Duty / Container,451710916,"Turntable Caster Mount Plates 4"" x 4-1/2"" - 2,000 lbs. Capacity",Durable Superior Casters,$123.94,$1.43,79,2,2.53%,$0.72,,,54.55%,45.45%,
2025-10,Bing,BLANK,F26H13-12TT,"Folding Rolastair Rolling Ladder, 123-1/2 / Traction Tread / 12 in",Wildeck,"$2,510.00",$1.42,1,1,100.00%,$1.42,,,100.00%,0.00%,100.00%
2025-10,Bing,Stretch Wrap Machines,SWM-MR-3000,3000 Series Mobile Robot Stretch Wrap Machine,Handle-It,"$18,000.00",$1.40,202,3,1.49%,$0.47,,,72.73%,21.21%,6.06%
2025-10,Bing,Accessories,F86165A5,Valley Craft Plastic Drum Grabber Forklift Attachment,Valley Craft,$895.00,$1.36,7,1,14.29%,$1.36,,,50.00%,50.00%,
2025-10,Bing,Other,241052,7.5 Amp Fuse,Lincoln Industrial,$4.92,$1.35,19,1,5.26%,$1.35,,,16.10%,79.66%,
2025-10,Bing,General Casters,T3HR30GB4206YY,"3"" x 1-1/4"" Hard Rubber Swivel Caster, Total Lock Brake (Ball Bearing),300 lbs. Capacity",Durable Superior Casters,$22.56,$1.35,133,1,0.75%,$1.35,,,50.00%,50.00%,5.00%
2025-10,Bing,"Battery, Charger, Accessories",920600100085,SPTE33LI Battery for Powered Pallet Jack (Battery Only),Noblelift,$718.18,$1.35,43,1,2.33%,$1.35,,,56.52%,37.68%,10.14%
2025-10,Bing,Carts,F89483VCGY,"Valley Craft Security Carts, 0 / Gray / 48"" x 30""",Valley Craft,"$1,695.00",$1.35,3,1,33.33%,$1.35,,,75.00%,25.00%,
2025-10,Bing,General Casters,HR30GB42,"3"" x 1-1/4"" Hard Rubber Wheel Black - 300 lbs. Capacity",Durable Superior Casters,$8.89,$1.35,173,1,0.58%,$1.35,,,81.29%,17.54%,3.51%
2025-10,Bing,Stretch Wrap Machines,SWM-SA-0800,Model 800 Semi-Automatic Pallet Stretch Wrap Machine,Handle-It,"$7,000.00",$1.33,54,1,1.85%,$1.33,,,100.00%,0.00%,
2025-10,Bing,Straddle Stackers,SFH22-63,"SFH22AG - 2,200lb Manual Straddle Stacker, 63"" (Single Mast)",Noblelift,"$2,026.67",$1.29,3,1,33.33%,$1.29,,,66.67%,33.33%,
2025-10,Bing,Accessories,PUCLH2,Utility Cart Ladder Hook,Suncast Commercial,$17.07,$1.28,55,2,3.64%,$0.64,,,33.33%,63.19%,2.78%
2025-10,Bing,General Casters,21PP40GA4470YY,"4"" x 1-1/4"" Poly-Pro Threaded Stem Swivel Caster - 350 lbs. Capacity",Durable Superior Casters,$14.35,$1.26,36,1,2.78%,$1.26,,,63.83%,36.17%,2.13%
2025-10,Bing,General Casters,75PP50GK4206TY,"5"" x 1-1/4"" Poly-Pro Wheel Swivel Caster w/ Top Lock Brake - 350 lbs. capacity",Durable Superior Casters,$22.04,$1.26,14,1,7.14%,$1.26,,,100.00%,0.00%,
2025-10,Bing,Rack Protection,RP-42LH-MD,"End of Aisle Rack Protector Medium Duty, Left / 42""",Handle-It,$135.00,$1.26,4,1,25.00%,$1.26,,,42.86%,57.14%,14.29%
2025-10,Bing,General Casters,SN10UO52,"10"" x 2-3/4"" Eco-Rubber Flat Free Wheel (Offset Hub) - 550 lbs. Capacity",Durable Superior Casters,$29.17,$1.24,162,1,0.62%,$1.24,,,39.13%,60.87%,4.35%
2025-10,Bing,General Casters,14ZZZZZZZZ06YY,"Caster Mount Weld Plate 2-3/8"" x 3-5/8""",Durable Superior Casters,$2.84,$1.23,78,1,1.28%,$1.23,,,77.59%,22.41%,1.72%
2025-10,Bing,BLANK,3100-BLP-18-95,Mobile Bench Cabinet w/ Bins - 2 Large bins 4 Medium bins 12 Small bins,Durham,"$1,181.15",$1.20,2,1,50.00%,$1.20,,,0.00%,0.00%,
2025-10,Bing,General Casters,01PO20AB8106YY,"2"" Double Wheel Polyolefin Swivel Caster - 200 lbs. Capacity",Durable Superior Casters,$8.87,$1.19,76,1,1.32%,$1.19,,,65.98%,27.84%,
2025-10,Bing,Guard Rail,GR-5-S2,Heavy Duty Warehouse Double Guard Rail Starter Unit - 5 ft,Handle-It,$607.45,$1.18,436,3,0.69%,$0.39,,,57.14%,42.86%,
2025-10,Bing,Bollard Covers,BPD-YL-05-060-S,"Heavy Duty Dome Top Bollard Covers for 5"" Diameter Pipes (52-60"" Height) - 60 in / Yellow",S4 Bollards,$64.27,$1.14,2,1,50.00%,$1.14,,,100.00%,0.00%,
2025-10,Bing,Hand Trucks,100-DLX-55-BLUE,Delux EZE-OFF Delivery Truck - Blue,Dutro,$286.74,$1.13,66,1,1.52%,$1.13,,,0.00%,0.00%,
2025-10,Bing,Guard Rail,BR-4,Build-A-Rail Modular Guard Rail Kit - 4 Ft. Rail,Handle-It,$251.79,$1.12,43,1,2.33%,$1.12,,,0.00%,100.00%,
2025-10,Bing,Rack Protection,P24,Warehouse Upright Rack Protector,Handle-It,$31.07,$1.11,35,1,2.86%,$1.11,,,100.00%,0.00%,
2025-10,Bing,Forklift Wheel Stops,RP-42WS-HD,Forklift Wheel Stops,Handle-It,$170.00,$1.11,291,3,1.03%,$0.37,,,86.05%,11.63%,4.65%
2025-10,Bing,BLANK,LBC,Light Bulb Caddy for Workplatform,Storage Products Group,$162.89,$1.10,6,1,16.67%,$1.10,,,66.67%,33.33%,
2025-10,Bing,Dollies,1355,Carpeted Piano Dolly Fixed Axle w/ Two Swivel Casters - 1300lb Cap.,Dutro,$192.21,$1.09,1,1,100.00%,$1.09,,,0.00%,0.00%,
2025-10,Bing,"Carts, Hand Trucks & Dollies",273269,Wesco Scissors Table with Roller Top - 660 lbs Capacity,Wesco,"$1,674.03",$1.08,58,1,1.72%,$1.08,,,73.77%,22.95%,1.64%
2025-10,Bing,Accessories,M998086+M998111,"Trailer Jack Auto Dolly Attachment - 12"" x 16"" Standard Duty V-Groove Dolly",Merrick Machine,$137.40,$1.07,1,1,100.00%,$1.07,,,0.00%,100.00%,
2025-10,Bing,Pumps,MV8030,Mityvac Selectline Hand Pump,Lincoln Industrial,$62.65,$1.05,13,1,7.69%,$1.05,,,46.43%,53.57%,7.14%
2025-10,Bing,Carts,F89256VCBL,Valley Craft Stock Picking Cage Carts - 3 / 0 / Blue,Valley Craft,$895.00,$1.04,2,1,50.00%,$1.04,,,100.00%,0.00%,
2025-10,Bing,ST - Column Protectors,CS2442-6S,"Column Protector - Sentry Protection Products (Medium), 6""x6"" / Square",Sentry Protection,$479.55,$1.00,2,1,50.00%,$1.00,,,66.67%,33.33%,
2025-10,Bing,BLANK,LP48CE-B,"Plastic AV Cart 48""H (Cabinet)",Luxor,$494.00,$1.00,3,1,33.33%,$1.00,1.00,$1644.69,20.00%,80.00%,
2025-10,Bing,Cabinets & Desks,F87858A2,"Valley Craft Adjustable Height Work Tables - 84"" / 34"" / Standard",Valley Craft,$745.00,$0.99,3,1,33.33%,$0.99,,,30.00%,60.00%,
2025-10,Bing,BLANK,DD5810,"Hardwood Locker Room Bench with Steel Pedestals, 72 / Dove Gray",Lyon,$341.12,$0.96,3,1,33.33%,$0.96,,,66.67%,33.33%,
2025-10,Bing,BLANK,26015-WH,"Yellow Rachet Straps w/ Wire Hook 2""W (Pack of 2), 15 ft.",Pcc,$18.24,$0.94,5,1,20.00%,$0.94,,,19.23%,76.92%,
2025-10,Bing,Pumps,644-37491-1,Electric Grease Pump W/ Low-Level Sensor - P203 Series 24V,Lincoln Industrial,"$1,576.92",$0.93,1,1,100.00%,$0.93,,,100.00%,0.00%,
2025-10,Bing,Heavy Duty / Container,CNT61SW80LU2425YY,"8"" x 3"" Energy Saver Polyon Cast Shipping Container Caster",Durable Superior Casters,$972.26,$0.92,51,1,1.96%,$0.92,,,75.00%,25.00%,
2025-10,Bing,BLANK,DD5795,"Hardwood Locker Room Bench with Steel Pedestals, 60 / Dove Gray",Lyon,$220.64,$0.92,8,1,12.50%,$0.92,,,100.00%,0.00%,
2025-10,Bing,Hoses,74024,2' Low Pressure Air/Water Hose - 74024,Lincoln Industrial,$120.65,$0.91,5,1,20.00%,$0.91,,,55.56%,33.33%,
2025-10,Bing,BLANK,70-6,Rail Support - 1 in ID/1.315 in OD Pipe,Kee Safety,$26.05,$0.90,1,1,100.00%,$0.90,,,0.00%,0.00%,
2025-10,Bing,General Casters,28ZZZZZZZZ17YY,"Caster Mount Weld Plate 4"" x 4-1/2""",Durable Superior Casters,$4.85,$0.88,71,1,1.41%,$0.88,,,70.37%,29.63%,8.64%
2025-10,Bing,BLANK,WSCC-3,Three-Shelf Collapsible Wire Utility Cart,Luxor,$320.00,$0.88,23,1,4.35%,$0.88,,,22.03%,76.27%,
2025-10,Bing,BLANK,HWB-3672-95,"Workbench, Heavy Duty, 72 x 36",Durham,"$1,208.08",$0.87,21,1,4.76%,$0.87,,,8.11%,86.04%,0.45%
2025-10,Bing,Bollard Covers,BPD-YL-3.5-052-S,"Heavy Duty Dome Top Bollard Covers for 3-1/2"" Diameter Pipes (52-68"" Height) - 52 in / Yellow",S4 Bollards,$57.13,$0.87,8,1,12.50%,$0.87,,,0.00%,0.00%,
2025-10,Bing,Quicklub,94024,Electric Grease Pump W/ Timer - P203 Series 24V,Lincoln Industrial,"$1,177.54",$0.86,27,1,3.70%,$0.86,,,50.00%,50.00%,
2025-10,Bing,Bollard Covers,CW-RND-GY-08-060,"Column Wrap, Round / Gray / 8"" x 60""",S4 Bollards,$89.29,$0.85,25,2,8.00%,$0.43,,,37.93%,58.62%,
2025-10,Bing,Bins,SSB423BK,"Stackable Shelf Bins 8-1/4""W x 12""L (6 Pack) - Black",Quantum Storage Systems,$61.32,$0.84,4,1,25.00%,$0.84,,,100.00%,0.00%,
2025-10,Bing,Rack Protection,P12-8,"Warehouse Upright Rack Protector, 12"" / 8.5""",Handle-It,$47.14,$0.81,20,1,5.00%,$0.81,,,38.46%,61.54%,7.69%
2025-10,Bing,Hand Trucks,RET-50S-BLUE,"Continuous Loop Hand Truck, Blue",Dutro,$173.93,$0.81,7,1,14.29%,$0.81,,,71.43%,28.57%,14.29%
2025-10,Bing,Flexible Bollards,XL-BPD-06-052-FBA,"Flexible Bollard - 52"" Height, Heavy Duty - Asphalt",S4 Bollards,$650.00,$0.81,7,1,14.29%,$0.81,,,14.89%,85.11%,4.26%
2025-10,Bing,Other,404-22602-1,Compression Nut,Lincoln Industrial,$3.02,$0.80,11,1,9.09%,$0.80,,,72.73%,27.27%,9.09%
2025-10,Bing,Stretch Wrap Machines,SWM-RA-2200,Model 2200 Rotary Arm Stretch Wrap Machine,Handle-It,"$24,500.00",$0.80,68,1,1.47%,$0.80,,,86.84%,13.16%,5.26%
2025-10,Bing,BLANK,U251S,"Type II Safety Can, 5 Gal. Red with 7/8"" O.D. Flex Spout",Eagle Manufacturing,$148.73,$0.79,3,1,33.33%,$0.79,,,33.33%,66.67%,
2025-10,Bing,Other,85139,85139 Lubrication Controller,Lincoln Industrial,$614.41,$0.79,8,2,25.00%,$0.40,,,50.00%,50.00%,50.00%
2025-10,Bing,BLANK,SP18-CLEAR,"Small, Plastic Compartment Box",Durham,$3.57,$0.78,59,3,5.08%,$0.26,,,20.55%,76.28%,0.40%
2025-10,Bing,Guard Rail,CS-2,Heavy Duty Warehouse Guard Rail Column - Double Rail / Centered/Standard,Handle-It,$190.00,$0.77,162,2,1.23%,$0.39,,,42.11%,2.63%,7.89%
2025-10,Bing,Auto Rotisseries,AT-MC,"AutoTwirler Mustang Body Cart, Bare Steel",Auto Twirler,$541.53,$0.77,10,1,10.00%,$0.77,,,41.67%,25.00%,25.00%
2025-10,Bing,Quicklub,94012,Electric Grease Pump W/ Timer - P203 Series 12V,Lincoln Industrial,"$1,128.95",$0.76,90,4,4.44%,$0.19,,,46.67%,53.33%,
2025-10,Bing,General Casters,68SN80UC5317YY,"8"" x 2-1/2"" Eco Rubber Wheel Rigid Caster - 450 Lbs. Capacity",Durable Superior Casters,$34.74,$0.74,73,1,1.37%,$0.74,,,12.50%,87.50%,
2025-10,Bing,Guard Rail,GR-8-A2,Heavy Duty Warehouse Double Guard Rail Add-On Unit - 8 ft,Handle-It,$543.64,$0.74,157,2,1.27%,$0.37,,,50.00%,50.00%,
2025-10,Bing,General Casters,27TP80JX6017YY,"8"" x 2"" Thermo-Pro Wheel Swivel Caster - 600 lbs. Capacity - Standard",Durable Superior Casters,$41.49,$0.74,389,3,0.77%,$0.25,,,62.91%,6.10%,3.29%
2025-10,Bing,BLANK,HDFJ-48,"Heavy Duty Farm Jack - 48""",Vestil,$143.97,$0.73,11,1,9.09%,$0.73,,,4.12%,86.60%,0.52%
2025-10,Bing,Quicklub,644-46173-4,Electric Grease Pump,Lincoln Industrial,"$1,879.52",$0.72,7,1,14.29%,$0.72,,,0.00%,0.00%,
2025-10,Bing,Cabinets,301-MGY,"Extra Cabinet Shelf 36""W x 18""D - Medium Gray",Tennsco,$33.59,$0.72,6,1,16.67%,$0.72,,,28.57%,71.43%,
2025-10,Bing,BLANK,4.66-9D-18-3T-L,Extra Heavy Duty 14 GA Triple-Tier Locker - 9 / 18 in,Strong Hold,"$3,079.95",$0.72,1,1,100.00%,$0.72,,,0.00%,100.00%,
2025-10,Bing,Decorative Bollards,R-7539-NPOST-NC,"R-7539 Decorative Bollard | Classic Design (36"" Height x 35-3/4"" Diameter), New Post in New Concrete",Reliance Foundry,$747.50,$0.71,17,1,5.88%,$0.71,,,68.42%,31.58%,5.26%
2025-10,Bing,Fixed Bollards,BSSV404036,"4"" Stainless Steel Dome Top Bollard with Baseplate (36"" Height)",S4 Bollards,$350.25,$0.70,381,2,0.52%,$0.35,,,66.99%,20.39%,3.88%
2025-10,Bing,Rack Protection,RP-48LH-MD,End of Aisle Rack Protector Medium Duty,Handle-It,$135.00,$0.70,39,1,2.56%,$0.70,,,100.00%,0.00%,
2025-10,Bing,General Casters,HR50GB42,"5"" x 1-1/4"" Hard Rubber Wheel - 350 lbs. Capacity",Durable Superior Casters,$12.07,$0.68,30,1,3.33%,$0.68,,,64.86%,32.43%,2.70%
2025-10,Bing,Flat Top Dollies,M998059,"Individual Big Red Flush Top Dolly 24"" x 32"" - 3300 lb. Capacity",Merrick Machine,$513.60,$0.67,850,2,0.24%,$0.34,,,60.37%,33.54%,4.88%
2025-10,Bing,BLANK,OR-484861-GRAY,"High-Capacity Portable Stack Racks - Maximize Storage Efficiency, 48x48x61 (Gray)",Ohio Rack,$270.00,$0.65,51,2,3.92%,$0.33,,,28.46%,66.92%,1.54%
2025-10,Bing,Carts,RPDS-2448-6PY,"Raised Platform Truck Box Truck with Drop Gate (Solid Sides), 24""W x 48""L",Little Giant,$965.51,$0.64,2,1,50.00%,$0.64,,,100.00%,0.00%,100.00%
2025-10,Bing,General Casters,16SR40GB8206YY,"4"" x 1-1/4"" Soft Rubber Wheel Rigid Caster Stainless Steel - 245 lbs. Capacity",Durable Superior Casters,$32.92,$0.63,3,1,33.33%,$0.63,,,100.00%,0.00%,
2025-10,Bing,General Casters,75PP50GK4206YY,"5"" x 1-1/4"" Poly-Pro Wheel Swivel Caster - 300 lbs. capacity",Durable Superior Casters,$19.53,$0.63,4,1,25.00%,$0.63,,,100.00%,0.00%,
2025-10,Bing,Stretch Wrap Machines,SWM-SA-1200UL,Model 1200UL Semi-Automatic Ultra-Low Pallet Stretch Wrap Machine,Handle-It,"$15,300.00",$0.61,81,2,2.47%,$0.31,,,100.00%,0.00%,6.67%
2025-10,Bing,General Casters,75NM40GI4311YY,"4"" x 1-1/4"" Nomadic Wheel Swivel Caster - 300 lbs. Capacity",Durable Superior Casters,$19.26,$0.61,3,1,33.33%,$0.61,,,100.00%,0.00%,
2025-10,Bing,General Casters,RS80JB02,"8"" x 2"" Mold-On Rubber Cast Wheel - 600 lbs. Capacity - 5/8"" ID Roller Bearing",Durable Superior Casters,$27.49,$0.60,22,1,4.55%,$0.60,,,73.08%,23.08%,7.69%
2025-10,Bing,General Casters,PO40GJ83,"4"" x 1-1/4"" Polyolefin Wheel White - 350 lbs. Capacity",Durable Superior Casters,$2.59,$0.59,26,1,3.85%,$0.59,,,63.16%,36.84%,
2025-10,Bing,Dumpers & Lifts,F80163A3,"Valley Craft Drum Dumpers: Efficient & Safe Material Handling, 36"" / Stationary",Valley Craft,"$4,995.00",$0.58,2,1,50.00%,$0.58,,,50.00%,50.00%,
2025-10,Bing,General Casters,FTHU60JI6417YY,"6"" x 2"" Ergolastomer Swivel Caster W/ Total Lock Brake - 1250 lbs. Cap.",Durable Superior Casters,$112.64,$0.57,4,1,25.00%,$0.57,,,100.00%,0.00%,
2025-10,Bing,General Casters,SN80UCP2,"8"" x 2-1/2"" Eco-Rubber Flat Free Wheel (Centered Hub) - 450 lbs. Capacity",Durable Superior Casters,$22.98,$0.57,91,1,1.10%,$0.57,,,62.71%,36.44%,6.78%
2025-10,Bing,Floor Mounted Barrier,CG-3,"12"" Tall Floor-Mounted Barrier (3 - 10 ft. Long)",Handle-It,$93.21,$0.57,57,1,1.75%,$0.57,,,75.00%,25.00%,33.33%
2025-10,Bing,Pumps,926-1,Grease Pump Assembly,Lincoln Industrial,"$2,211.90",$0.56,5,1,20.00%,$0.56,,,66.67%,33.33%,
2025-10,Bing,,935-RAYMOND,Hanging Folded Chair & Table Storage Truck - Holds 36 Chairs and 8 Tables,Raymond Products,$567.00,$0.56,2,1,50.00%,$0.56,,,33.33%,66.67%,
2025-10,Bing,Fixed Bollards,BSSV404036,"4"" Stainless Steel Dome Top Bollard with Baseplate (36"" Height)",S4 Bollards,$350.25,$0.54,38,1,2.63%,$0.54,,,100.00%,0.00%,
2025-10,Bing,BLANK,412KD-EBL-6SR,"Standard Vinyl Basket Truck - 12 Bushel - Knocked Down, Electric Blue / 6"" Industrial Casters / 2 Swivel, 2 Rigid",R&B Wire,$431.23,$0.54,1,1,100.00%,$0.54,,,100.00%,0.00%,
2025-10,Bing,Guard Rail,GR-10-A2,Heavy Duty Warehouse Double Guard Rail Add-On Unit - 10 ft,Handle-It,$605.09,$0.54,502,2,0.40%,$0.27,,,54.44%,32.22%,4.44%
2025-10,Bing,Heavy Duty / Container,FTSU60JL0917YY,"6"" x 2"" DuraLastomer Wheel Total Lock Swivel Caster - 1000 lbs. Capacity",Durable Superior Casters,$106.69,$0.53,19,1,5.26%,$0.53,,,62.07%,37.93%,
2025-10,Bing,Retractable Bollards,MRCS4040-B,"4"" Manual Retractable Black Carbon Steel Bollard (36"" Height)",S4 Bollards,$935.00,$0.53,72,1,1.39%,$0.53,,,28.57%,71.43%,
2025-10,Bing,Crash Rated Bollards,C40,"ASTM C40 Crash Rated Bollard - 5,000 lb Rated at 30 MPH (36"" Height)",S4 Bollards,$836.00,$0.53,51,1,1.96%,$0.53,,,100.00%,0.00%,
2025-10,Bing,Pallet Rack Safety Netting,BN-RSB-146.5,Pallet Rack Safety Nets - Standard/J-Hook Attachments - 12 ft / Fixed / Standard,Adrian's Safety,$105.00,$0.52,41,1,2.44%,$0.52,,,66.67%,33.33%,
2025-10,Bing,Lifts & Stackers,273204,Wesco Electric Value Lift Stackers - 880 lbs Capacity,Wesco,"$6,198.82",$0.51,45,1,2.22%,$0.51,,,14.29%,85.71%,
2025-10,Bing,Fixed Bollards,SGR-2-096-42-P,"Standard Guardrail (Base Plate) - 2 / 96"" / 42""",S4 Bollards,$741.00,$0.50,2,1,50.00%,$0.50,,,66.67%,0.00%,
2025-10,Bing,EDGE Powered,PTE45N-2145,"EDGE Powered Pallet Jack 4500 lb. Capacity, 21 in.",Noblelift,"$3,733.33",$0.50,10,1,10.00%,$0.50,,,16.13%,80.65%,
2025-10,Bing,Lifts & Stackers,272468,"Wesco Electric Office Lift - 220 lbs Capacity, Remote Control",Wesco,"$3,949.32",$0.49,10,1,10.00%,$0.49,,,100.00%,0.00%,
2025-10,Bing,General Casters,21PM40GM4368YY,"4"" x 1-1/4"" Polymadic Wheel Threaded Swivel Stem Caster (1/2"") - 325 lbs. Cap.",Durable Superior Casters,$16.80,$0.48,21,1,4.76%,$0.48,,,93.75%,6.25%,
2025-10,Bing,General Casters,4060SA1PFP,"6"" x 2"" Colson Performa Wheel Swivel Caster 450 lbs. Capacity",Caster Depot,$44.21,$0.48,161,1,0.62%,$0.48,,,64.21%,30.53%,10.53%
2025-10,Bing,AF - Electric Stackers,A-3031,"Counterbalanced Electric Stacker, 1,200-3,300 lbs Capacity, 118 / 1,200",Apollo Forklift,"$8,636.36",$0.48,60,3,5.00%,$0.16,,,34.97%,64.34%,1.40%
2025-10,Bing,BLANK,JSC-246061-94T-D719,"Jobsite Storage Cabinet, 47.5 Cu. Ft.",Durham,"$1,591.72",$0.47,11,1,9.09%,$0.47,,,4.52%,87.74%,
2025-10,Bing,Garbage Cans,TCNH2030BLR,"23 Gallon Resin Slim Trash Can With Handles, Blue",Suncast Commercial,$36.55,$0.47,13,1,7.69%,$0.47,,,31.71%,63.41%,29.27%
2025-10,Bing,ST - Accessories,GENSTI-100,GenieGrips Forklift Stik-It Pads,Sentry Protection,$470.00,$0.46,31,2,6.45%,$0.23,,,89.66%,10.34%,
2025-10,Bing,Gate Casters,G221SR40GB8291YY,"4"" x 1-1/4"" Soft Rubber Wheel Light-Medium Duty Spring Gate Caster",Durable Superior Casters,$57.33,$0.44,37,1,2.70%,$0.44,,,71.79%,23.08%,5.13%
2025-10,Bing,BLANK,OR-606054-OR,"High-Capacity Portable Stack Racks - Maximize Storage Efficiency, 60x60x54 (Orange)",Ohio Rack,$285.00,$0.44,52,1,1.92%,$0.44,,,42.50%,57.50%,2.50%
2025-10,Bing,Heavy Duty / Container,28SS50JS0417YY,"5"" x 2"" Semi-Steel Wheel Rigid Caster - 1000 lbs. Capacity",Durable Superior Casters,$39.61,$0.43,8,1,12.50%,$0.43,,,71.43%,28.57%,
2025-10,Bing,Dumpers & Lifts,F80171A1,"Efficient Valley Craft Box Dumpers - 460 Volt - 48"" x 51"" / 72"" / 4,000 lb.",Valley Craft,"$11,045.00",$0.42,518,1,0.19%,$0.42,,,70.00%,6.67%,20.00%
2025-10,Bing,General Casters,27TP50JX6017YY,"5"" x 2"" Thermo-Pro Wheel Swivel Caster - 350 lbs. Capacity - Standard",Durable Superior Casters,$34.10,$0.41,12,1,8.33%,$0.41,,,0.00%,0.00%,
2025-10,Bing,General Casters,75PM50GM43Q1TY,"5"" x 1-1/4"" Polymadic Wheel Square Stem Swivel Scaffold Caster W/ Brake - 350 lbs. Cap.",Durable Superior Casters,$56.09,$0.41,10,1,10.00%,$0.41,,,88.89%,11.11%,
2025-10,Bing,Guard Rail,GR-9-A2,Heavy Duty Warehouse Double Guard Rail Add-On Unit - 9 ft,Handle-It,$567.27,$0.40,187,1,0.53%,$0.40,,,39.13%,30.43%,
2025-10,Bing,Stretch Wrap Machines,SWM-MR-3000,"3000 Series Mobile Robot Stretch Wrap Machine - 94""",Handle-It,"$18,000.00",$0.40,84,1,1.19%,$0.40,,,39.69%,55.73%,0.76%
2025-10,Bing,Fixed Bollards,R-8902-EMBEDDED,"R-8902 Stainless Steel Bollard (36"" Height x 4-3/8"" Diameter), Fixed Embedded Mount",Reliance Foundry,$612.55,$0.40,4,1,25.00%,$0.40,,,100.00%,0.00%,
2025-10,Bing,General Casters,27SS40JS0417YY,"4"" x 2"" Semi-Steel Wheel Swivel Caster - 700 lbs. Capacity - Standard",Durable Superior Casters,$35.54,$0.38,260,1,0.38%,$0.38,,,18.06%,77.78%,
